Time,Temp,Pressure,KE,U
0.000000,94.400226,1.173837,74.171831,-2.228393
0.010000,94.400903,1.173867,74.172363,-2.228925
0.020000,94.402033,1.173917,74.173251,-2.229813
0.030000,94.403616,1.173988,74.174495,-2.231056
0.040000,94.405653,1.174079,74.176095,-2.232656
0.050000,94.408144,1.174191,74.178052,-2.234614
0.060000,94.411092,1.174323,74.180369,-2.236930
0.070000,94.414499,1.174475,74.183045,-2.239607
0.080000,94.418365,1.174648,74.186084,-2.242645
0.090000,94.422695,1.174841,74.189485,-2.246046
0.100000,94.427489,1.175056,74.193252,-2.249813
0.110000,94.432752,1.175291,74.197387,-2.253948
0.120000,94.438486,1.175548,74.201892,-2.258453
0.130000,94.444694,1.175825,74.206771,-2.263331
0.140000,94.451381,1.176124,74.212024,-2.268584
0.150000,94.458550,1.176445,74.217657,-2.274217
0.160000,94.466206,1.176787,74.223673,-2.280232
0.170000,94.474353,1.177151,74.230074,-2.286633
0.180000,94.482997,1.177537,74.236866,-2.293424
0.190000,94.492142,1.177946,74.244051,-2.300609
0.200000,94.501795,1.178377,74.251635,-2.308193
0.210000,94.511960,1.178831,74.259622,-2.316180
0.220000,94.522645,1.179309,74.268018,-2.324575
0.230000,94.533856,1.179809,74.276827,-2.333383
0.240000,94.545704,1.180102,74.286135,-2.337179
0.250000,94.558286,1.180429,74.296022,-2.341582
0.260000,94.571503,1.181019,74.306407,-2.351967
0.270000,94.585265,1.181634,74.317219,-2.362779
0.280000,94.599753,1.181811,74.328603,-2.363197
0.290000,94.614973,1.182490,74.340561,-2.375155
0.300000,94.630836,1.182963,74.353025,-2.382125
0.310000,94.647433,1.183469,74.366066,-2.389707
0.320000,94.664845,1.183779,74.379747,-2.392495
0.330000,94.683221,1.183897,74.394185,-2.390553
0.340000,94.702407,1.184753,74.409260,-2.405627
0.350000,94.722190,1.185636,74.424803,-2.421170
0.360000,94.742730,1.186080,74.440942,-2.426307
0.370000,94.764171,1.186568,74.457789,-2.432226
0.380000,94.786375,1.187558,74.475235,-2.449671
