Time,Temp,Pressure,KE,U
0.000000,94.400188,1.173835,145.988943,-4.352274
0.010000,94.400754,1.173860,145.989817,-4.353149
0.020000,94.401698,1.173903,145.991277,-4.354608
0.030000,94.403021,1.173962,145.993323,-4.356654
0.040000,94.404725,1.174039,145.995959,-4.359290
0.050000,94.406812,1.174133,145.999186,-4.362516
0.060000,94.409283,1.174244,146.003007,-4.366338
0.070000,94.412140,1.174372,146.007426,-4.370756
0.080000,94.415387,1.174518,146.012446,-4.375776
0.090000,94.419024,1.174682,146.018071,-4.381401
0.100000,94.423055,1.174863,146.024305,-4.387634
0.110000,94.427482,1.175062,146.031152,-4.394481
0.120000,94.432309,1.175279,146.038617,-4.401945
0.130000,94.437539,1.175514,146.046705,-4.410033
0.140000,94.443176,1.175768,146.055422,-4.418750
0.150000,94.449222,1.176040,146.064773,-4.428100
0.160000,94.455683,1.176330,146.074765,-4.438091
0.170000,94.462562,1.176639,146.085403,-4.448728
0.180000,94.469863,1.176967,146.096694,-4.460019
0.190000,94.477592,1.177314,146.108646,-4.471970
0.200000,94.485752,1.177681,146.121266,-4.484590
0.210000,94.494349,1.178067,146.134562,-4.497885
0.220000,94.503389,1.178473,146.148541,-4.511864
0.230000,94.512876,1.178899,146.163214,-4.526535
0.240000,94.522817,1.179346,146.178587,-4.541908
0.250000,94.533218,1.179813,146.194672,-4.557992
0.260000,94.544134,1.180183,146.211552,-4.569426
0.270000,94.555705,1.180344,146.229448,-4.570989
0.280000,94.567884,1.180891,146.248283,-4.589823
0.290000,94.580624,1.181223,146.267984,-4.598594
0.300000,94.593971,1.181701,146.288626,-4.613709
0.310000,94.607926,1.182088,146.310207,-4.624387
0.320000,94.622569,1.182385,146.332852,-4.630619
0.330000,94.637861,1.182951,146.356502,-4.648811
0.340000,94.653768,1.183427,146.381101,-4.662585
0.350000,94.670333,1.183932,146.406718,-4.677344
0.360000,94.687484,1.184701,146.433243,-4.703867
0.370000,94.705227,1.185257,146.460682,-4.720369
0.380000,94.723705,1.185606,146.489258,-4.727140
0.390000,94.742926,1.186228,146.518982,-4.745934
0.400000,94.762824,1.186881,146.549755,-4.765808
0.410000,94.783473,1.187325,146.581689,-4.775863
0.420000,94.804877,1.188045,146.614789,-4.798064
0.430000,94.827035,1.188555,146.649056,-4.810375
0.440000,94.850077,1.188867,146.684691,-4.813213
0.450000,94.873981,1.189576,146.721658,-4.833719
0.460000,94.898805,1.190447,146.760047,-4.861158
0.470000,94.924476,1.191595,146.799748,-4.900857
0.480000,94.950890,1.192655,146.840596,-4.936169
0.490000,94.978247,1.193758,146.882904,-4.972973
0.500000,95.006587,1.194785,146.926732,-5.005898
0.510000,95.035775,1.195970,146.971870,-5.045596
0.520000,95.065728,1.197189,147.018193,-5.086489
0.530000,95.096518,1.198203,147.065809,-5.117680
0.540000,95.128136,1.199614,147.114706,-5.166574
0.550000,95.160618,1.200944,147.164939,-5.211404
0.560000,95.194053,1.202075,147.216647,-5.246725
0.570000,95.228572,1.203614,147.270030,-5.300144
0.580000,95.264154,1.205078,147.325057,-5.349700
0.590000,95.300668,1.206825,147.381526,-5.411700
0.600000,95.338291,1.208619,147.439709,-5.475372
0.610000,95.377125,1.209743,147.499765,-5.508002
0.620000,95.417118,1.211401,147.561614,-5.564428
0.630000,95.458318,1.213110,147.625329,-5.622673
0.640000,95.500703,1.215111,147.690877,-5.693731
0.650000,95.544276,1.217162,147.758263,-5.766534
0.660000,95.589096,1.219145,147.827577,-5.835776
0.670000,95.635223,1.220826,147.898912,-5.890698
0.680000,95.682705,1.223164,147.972341,-5.975007
0.690000,95.731489,1.225080,148.047786,-6.039570
0.700000,95.781665,1.227292,148.125382,-6.117140
0.710000,95.833291,1.229567,148.205222,-6.196984
0.720000,95.886314,1.231781,148.287220,-6.273527
0.730000,95.940777,1.234175,148.371448,-6.357782
0.740000,95.996836,1.236876,148.458143,-6.455490
0.750000,96.054534,1.239163,148.547372,-6.533733
0.760000,96.113850,1.241756,148.639103,-6.625395
0.770000,96.174848,1.244421,148.733436,-6.719802
0.780000,96.237536,1.247152,148.830383,-6.816742
0.790000,96.301941,1.249833,148.929985,-6.910893
0.800000,96.368127,1.252703,149.032340,-7.013240
0.810000,96.436186,1.255646,149.137593,-7.118427
0.820000,96.506267,1.259029,149.245973,-7.243183
0.830000,96.578467,1.262014,149.357629,-7.349308
0.840000,96.652786,1.265200,149.472562,-7.464232
0.850000,96.729256,1.268347,149.590823,-7.577045
0.860000,96.808012,1.271698,149.712618,-7.698827
0.870000,96.889239,1.275498,149.838234,-7.840762
0.880000,96.973021,1.279031,149.967802,-7.970321
0.890000,97.059416,1.282415,150.101412,-8.093011
0.900000,97.148552,1.286492,150.239260,-8.247231
0.910000,97.240593,1.290188,150.381600,-8.384215
0.920000,97.335626,1.293976,150.528568,-8.525682
0.930000,97.433664,1.298095,150.680182,-8.682744
0.940000,97.534757,1.302061,150.836521,-8.833638
0.950000,97.638967,1.305987,150.997681,-8.983871
0.960000,97.746518,1.310236,151.164007,-9.150187
0.970000,97.857495,1.314199,151.335632,-9.305389
0.980000,97.971814,1.318581,151.512425,-9.482190
0.990000,98.089496,1.322887,151.694420,-9.658757
1.000000,98.210590,1.327220,151.881690,-9.840543
1.010000,98.335109,1.331681,152.074257,-10.033128
1.020000,98.462971,1.336358,152.271995,-10.241811
1.030000,98.593957,1.341091,152.474564,-10.460790
1.040000,98.727680,1.345344,152.681365,-10.667607
1.050000,98.863674,1.349651,152.891678,-10.888936
1.060000,99.001283,1.353565,153.104489,-11.107294
1.070000,99.139658,1.357222,153.318485,-11.332298
1.080000,99.277644,1.360372,153.531879,-11.556843
1.090000,99.413567,1.362599,153.742082,-11.767304
1.100000,99.545386,1.364057,153.945938,-11.976976
1.110000,99.670558,1.364015,154.139516,-12.160036
1.120000,99.785955,1.362654,154.317976,-12.333542
1.130000,99.887723,1.359622,154.475359,-12.491539
1.140000,99.971318,1.354282,154.604639,-12.616021
1.150000,100.031868,1.346098,154.698278,-12.693923
1.160000,100.064509,1.335402,154.748757,-12.750605
1.170000,100.065120,1.321171,154.749702,-12.746618
1.180000,100.031576,1.303550,154.697827,-12.689490
1.190000,99.965406,1.283036,154.595496,-12.592339
1.200000,99.873588,1.260024,154.453500,-12.449408
1.210000,99.769624,1.235984,154.292720,-12.286942
1.220000,99.673324,1.212835,154.143794,-12.135850
1.230000,99.608237,1.192931,154.043137,-12.038582
1.240000,99.596238,1.178341,154.024581,-12.029679
1.250000,99.651130,1.170382,154.109471,-12.131014
1.260000,99.773641,1.168573,154.298932,-12.316503
1.270000,99.950453,1.172225,154.572371,-12.587012
1.280000,100.158155,1.179245,154.893580,-12.905583
1.290000,100.370334,1.187611,155.221713,-13.246983
1.300000,100.564825,1.194596,155.522491,-13.543545
1.310000,100.728823,1.199394,155.776113,-13.791701
1.320000,100.861005,1.201875,155.980531,-13.989557
1.330000,100.970572,1.202975,156.149975,-14.157096
1.340000,101.073827,1.204041,156.309657,-14.314663
1.350000,101.189497,1.206762,156.488541,-14.491687
1.360000,101.334027,1.212619,156.712055,-14.714025
1.370000,101.517786,1.222653,156.996236,-15.003208
1.380000,101.743482,1.236735,157.345273,-15.347034
