Time,Temp,Pressure,KE,U
5.350000,120.425566,1.939047,94.620374,-22.841357
5.400000,118.977563,1.760694,93.482654,-21.846294
5.450000,115.637405,1.349925,90.858237,-18.889768
5.500000,115.533320,1.319126,90.776455,-19.019543
5.550000,117.450666,1.500195,92.282946,-20.619586
5.600000,117.727207,1.533978,92.500229,-20.762038
5.650000,117.010612,1.486606,91.937188,-20.137448
5.700000,116.747744,1.492764,91.730649,-19.848644
5.750000,117.763358,1.650600,92.528633,-20.780819
5.800000,118.524775,1.772381,93.126891,-21.396794
5.850000,118.457922,1.798532,93.074364,-21.305504
5.900000,117.891709,1.760750,92.629481,-20.845058
5.950000,117.094976,1.686327,92.003474,-20.201343
6.000000,116.431249,1.617170,91.481973,-19.660056
6.050000,116.288405,1.602356,91.369738,-19.580585
6.100000,116.331991,1.610003,91.403985,-19.666795
6.150000,116.356852,1.607261,91.423518,-19.584571
6.200000,117.473695,1.722182,92.301040,-20.495330
6.250000,119.323233,1.900281,93.754253,-22.050067
6.300000,120.328477,1.960176,94.544090,-22.888660
6.350000,119.517483,1.812504,93.906878,-22.335516
6.400000,116.811653,1.436592,91.780863,-19.942898
6.450000,116.513737,1.339944,91.546785,-19.819616
6.500000,117.980031,1.445243,92.698877,-21.130168
6.550000,118.420845,1.443804,93.045232,-21.232960
6.600000,119.875897,1.582394,94.188491,-22.449788
6.650000,121.394343,1.726315,95.381559,-23.779622
6.700000,120.613965,1.626923,94.768402,-23.217546
6.750000,117.614390,1.272045,92.411586,-20.503158
6.800000,117.542091,1.266344,92.354780,-20.614335
6.850000,119.586349,1.487665,93.960988,-22.352360
6.900000,120.280488,1.571470,94.506384,-22.766412
6.950000,120.701084,1.629119,94.836853,-23.051764
7.000000,121.077993,1.684724,95.132997,-23.509466
7.050000,119.339870,1.507968,93.767325,-22.125221
7.100000,117.195772,1.270316,92.082672,-20.121994
7.150000,117.997170,1.387846,92.712343,-20.997716
7.200000,119.106318,1.531279,93.583819,-21.948526
7.250000,117.672268,1.435807,92.457062,-20.884301
7.300000,116.318904,1.287848,91.393702,-19.163742
7.350000,119.511532,1.699380,93.902202,-22.279452
7.400000,120.695260,1.841196,94.832277,-23.110573
7.450000,118.839964,1.674553,93.374541,-21.668293
7.500000,115.687591,1.347551,90.897668,-18.916840
7.550000,115.214952,1.336402,90.526309,-18.653809
7.600000,117.207623,1.592759,92.091983,-20.317964
7.650000,118.974005,1.831737,93.479859,-21.704570
7.700000,119.580040,1.940916,93.956031,-22.114255
7.750000,119.593428,1.971559,93.966550,-22.093871
7.800000,119.517426,1.970361,93.906834,-22.031271
7.850000,119.521578,1.954584,93.910096,-22.029579
7.900000,119.608070,1.927151,93.978054,-22.093928
7.950000,119.662812,1.879457,94.021066,-22.138545
8.000000,119.422914,1.791330,93.832574,-21.994635
8.050000,118.596992,1.638093,93.183634,-21.339099
8.100000,117.697973,1.475901,92.477259,-20.518022
8.150000,118.495198,1.505218,93.103652,-21.163930
8.200000,120.715360,1.691228,94.848071,-23.026430
8.250000,122.394594,1.811605,96.167473,-24.360985
8.300000,122.998749,1.810960,96.642167,-24.834544
8.350000,122.687169,1.706130,96.397354,-24.592821
8.400000,121.792715,1.539763,95.694567,-23.859046
8.450000,120.960421,1.397134,95.040619,-23.175764
8.500000,120.933656,1.369947,95.019590,-23.137354
8.550000,122.082285,1.504915,95.922086,-24.060958
8.600000,123.773741,1.728555,97.251092,-25.439158
8.650000,125.014067,1.913174,98.225636,-26.403572
8.700000,125.591791,2.020002,98.679564,-26.841422
8.750000,125.736149,2.059051,98.792988,-26.955150
8.800000,125.487717,2.028307,98.597791,-26.793816
8.850000,124.295256,1.879108,97.660855,-25.956160
8.900000,120.793945,1.491799,94.909816,-23.256317
8.950000,116.602525,1.023724,91.616547,-19.578424
9.000000,116.350118,1.045699,91.418227,-19.488600
9.050000,119.332971,1.452447,93.761904,-22.009151
9.100000,122.071541,1.853574,95.913645,-24.202516
9.150000,122.666714,2.026928,96.381282,-24.559185
9.200000,122.276235,2.078158,96.074476,-24.195230
9.250000,121.723624,2.079797,95.640281,-23.738339
9.300000,121.253682,2.055360,95.271039,-23.356973
9.350000,120.787265,2.001471,94.904568,-23.028896
9.400000,119.868671,1.878893,94.182813,-22.381447
9.450000,117.715791,1.621971,92.491259,-20.732370
9.500000,114.941184,1.296293,90.311204,-18.334506
9.550000,115.480229,1.349657,90.734741,-18.814147
9.600000,118.623424,1.698837,93.204402,-21.515364
9.650000,120.279099,1.883995,94.505293,-22.757158
9.700000,119.970580,1.867456,94.262884,-22.528236
9.750000,118.010701,1.659831,92.722975,-20.850903
9.800000,117.797646,1.614893,92.555574,-20.581265
9.850000,120.162679,1.844400,94.413820,-22.669696
9.900000,121.409684,1.931099,95.393612,-23.584390
9.950000,121.460741,1.888253,95.433729,-23.555315
