Time,Temp,Pressure,KE,U,H(t),H(t)/N,U(t)/N,T(t)/N,time averaged values,,,Stdv T,,Stdv U/N,,STDV E/N,,
0,94.400002,1.173827,74.171655,-2.228217,71.943438,1.1241162188,-0.0348158906,1.1589321094,<T>,114.9595388717,422.6945563788,6.7146211579,0.0634087831,0.1011076836,3.5377318129564E-07,0.0017422938,0,0.0381348545
0.001,94.40001,1.173827,74.171661,-2.228223,71.943438,1.1241162188,-0.0348159844,1.1589322031,<U/N>,-0.2866268974,422.6942274263,,0.0634087359,,3.5377318129564E-07,,0,
0.002,94.400021,1.173827,74.17167,-2.228232,71.943438,1.1241162188,-0.034816125,1.1589323438,<H/N>,1.1247110071,422.6937751168,,0.0634086651,,3.5377318129564E-07,,0,
0.003,94.400038,1.173828,74.171683,-2.228245,71.943438,1.1241162188,-0.0348163281,1.1589325469,<P>,1.5398367458,422.6930760934,,0.0634085628,,3.5377318129564E-07,,0,
0.004,94.40006,1.173829,74.1717,-2.228262,71.943438,1.1241162188,-0.0348165938,1.1589328125,,,422.6921714759,,0.063408429,,3.5377318129564E-07,,0,
0.005,94.400086,1.17383,74.171721,-2.228283,71.943438,1.1241162188,-0.0348169219,1.1589331406,,,422.6911023837,,0.0634082638,,3.5377318129564E-07,,0,
0.006,94.400117,1.173832,74.171745,-2.228307,71.943438,1.1241162188,-0.0348172969,1.1589335156,,,422.6898276985,,0.0634080749,,3.5377318129564E-07,,0,
0.007,94.400153,1.173833,74.171773,-2.228335,71.943438,1.1241162188,-0.0348177344,1.1589339531,,,422.6883474215,,0.0634078546,,3.5377318129564E-07,,0,
0.008,94.400193,1.173835,74.171805,-2.228367,71.943438,1.1241162188,-0.0348182344,1.1589344531,,,422.6867026722,,0.0634076028,,3.5377318129564E-07,,0,
0.009,94.400238,1.173837,74.171841,-2.228403,71.943438,1.1241162188,-0.0348187969,1.1589350156,,,422.6848523331,,0.0634073195,,3.5377318129564E-07,,0,
0.01,94.400288,1.173839,74.17188,-2.228442,71.943438,1.1241162188,-0.0348194063,1.158935625,,,422.6827964055,,0.0634070126,,3.5377318129564E-07,,0,
0.011,94.400343,1.173842,74.171923,-2.228485,71.943438,1.1241162188,-0.0348200781,1.1589362969,,,422.6805348909,,0.0634066742,,3.5377318129564E-07,,0,
0.012,94.400403,1.173844,74.17197,-2.228532,71.943438,1.1241162188,-0.0348208125,1.1589370313,,,422.678067791,,0.0634063044,,3.5377318129564E-07,,0,
0.013,94.400467,1.173847,74.172021,-2.228582,71.943439,1.1241162344,-0.0348215938,1.1589378281,,,422.6754362257,,0.0634059109,,3.5375459440389E-07,,1.38998084153741E-08,
0.014,94.400537,1.17385,74.172075,-2.228637,71.943438,1.1241162188,-0.0348224531,1.1589386719,,,422.6725579606,,0.0634054782,,3.5377318129564E-07,,0,
0.015,94.40061,1.173854,74.172133,-2.228695,71.943438,1.1241162188,-0.0348233594,1.1589395781,,,422.6695563516,,0.0634050218,,3.5377318129564E-07,,0,
0.016,94.400689,1.173857,74.172195,-2.228757,71.943438,1.1241162188,-0.0348243281,1.1589405469,,,422.6663080471,,0.0634045339,,3.5377318129564E-07,,0,
0.017,94.400773,1.173861,74.172261,-2.228822,71.943439,1.1241162344,-0.0348253438,1.1589415781,,,422.6628541674,,0.0634040224,,3.53754594403626E-07,,1.38998084153741E-08,
0.018,94.400861,1.173865,74.17233,-2.228892,71.943438,1.1241162188,-0.0348264375,1.1589426563,,,422.6592358323,,0.0634034716,,3.5377318129564E-07,,0,
0.019,94.400954,1.173869,74.172403,-2.228965,71.943438,1.1241162188,-0.0348275781,1.1589437969,,,422.6554119269,,0.0634028972,,3.5377318129564E-07,,0,
0.02,94.401052,1.173874,74.17248,-2.229042,71.943438,1.1241162188,-0.0348287813,1.158945,,,422.6513824539,,0.0634022913,,3.53773181295904E-07,,0,
0.021,94.401155,1.173878,74.172561,-2.229122,71.943439,1.1241162344,-0.0348300313,1.1589462656,,,422.6471474162,,0.0634016618,,3.5375459440389E-07,,1.38998084153741E-08,
0.022,94.401262,1.173883,74.172645,-2.229207,71.943438,1.1241162188,-0.0348313594,1.1589475781,,,422.6427479335,,0.063400993,,3.5377318129564E-07,,0,
0.023,94.401374,1.173888,74.172733,-2.229295,71.943438,1.1241162188,-0.0348327344,1.1589489531,,,422.638142892,,0.0634003005,,3.5377318129564E-07,,0,
0.024,94.401491,1.173893,74.172825,-2.229387,71.943438,1.1241162188,-0.0348341719,1.1589503906,,,422.6333322951,,0.0633995766,,3.5377318129564E-07,,0,
0.025,94.401613,1.173899,74.172921,-2.229483,71.943438,1.1241162188,-0.0348356719,1.1589518906,,,422.6283161463,,0.0633988213,,3.5377318129564E-07,,0,
0.026,94.40174,1.173904,74.17302,-2.229582,71.943438,1.1241162188,-0.0348372188,1.1589534375,,,422.6230944493,,0.0633980423,,3.5377318129564E-07,,0,
0.027,94.401871,1.17391,74.173124,-2.229685,71.943439,1.1241162344,-0.0348388281,1.1589550625,,,422.6177083231,,0.0633972318,,3.5375459440389E-07,,1.38998084153741E-08,
0.028,94.402007,1.173916,74.173231,-2.229792,71.943439,1.1241162344,-0.0348405,1.1589567344,,,422.612116656,,0.0633963899,,3.5375459440389E-07,,1.38998084153741E-08,
0.029,94.402148,1.173923,74.173341,-2.229903,71.943438,1.1241162188,-0.0348422344,1.1589584531,,,422.6063194519,,0.0633955165,,3.53773181295904E-07,,0,
0.03,94.402294,1.173929,74.173456,-2.230018,71.943438,1.1241162188,-0.0348440313,1.15896025,,,422.600316715,,0.0633946117,,3.5377318129564E-07,,0,
0.031,94.402444,1.173936,74.173574,-2.230136,71.943438,1.1241162188,-0.034845875,1.1589620938,,,422.5941495641,,0.0633936832,,3.5377318129564E-07,,0,
0.032,94.4026,1.173943,74.173696,-2.230258,71.943438,1.1241162188,-0.0348477813,1.158964,,,422.5877357748,,0.0633927233,,3.5377318129564E-07,,0,
0.033,94.40276,1.17395,74.173822,-2.230384,71.943438,1.1241162188,-0.03484975,1.1589659688,,,422.58115758,,0.063391732,,3.5377318129564E-07,,0,
0.034,94.402925,1.173957,74.173952,-2.230513,71.943439,1.1241162344,-0.0348517656,1.158968,,,422.5743738702,,0.063390717,,3.5375459440389E-07,,1.38998084153741E-08,
0.035,94.403095,1.173965,74.174085,-2.230647,71.943438,1.1241162188,-0.0348538594,1.1589700781,,,422.5673846504,,0.0633896627,,3.5377318129564E-07,,0,
0.036,94.403269,1.173973,74.174222,-2.230784,71.943438,1.1241162188,-0.034856,1.1589722188,,,422.5602310382,,0.0633885848,,3.5377318129564E-07,,0,
0.037,94.403449,1.173981,74.174363,-2.230925,71.943438,1.1241162188,-0.0348582031,1.1589744219,,,422.5528308134,,0.0633874754,,3.5377318129564E-07,,0,
0.038,94.403633,1.173989,74.174508,-2.23107,71.943438,1.1241162188,-0.0348604688,1.1589766875,,,422.5452662062,,0.0633863346,,3.5377318129564E-07,,0,
0.039,94.403822,1.173997,74.174656,-2.231218,71.943438,1.1241162188,-0.0348627813,1.158979,,,422.5374961095,,0.0633851702,,3.5377318129564E-07,,0,
0.04,94.404015,1.174006,74.174809,-2.23137,71.943439,1.1241162344,-0.0348651563,1.1589813906,,,422.52956164,,0.0633839743,,3.5375459440389E-07,,1.38998084153741E-08,
0.041,94.404214,1.174015,74.174965,-2.231526,71.943439,1.1241162344,-0.0348675938,1.1589838281,,,422.5213805811,,0.063382747,,3.5375459440389E-07,,1.38998084153741E-08,
0.042,94.404417,1.174024,74.175124,-2.231686,71.943438,1.1241162188,-0.0348700938,1.1589863125,,,422.5130351604,,0.0633814882,,3.5377318129564E-07,,0,
0.043,94.404626,1.174033,74.175288,-2.23185,71.943438,1.1241162188,-0.0348726563,1.158988875,,,422.5044431632,,0.0633801979,,3.5377318129564E-07,,0,
0.044,94.404839,1.174043,74.175455,-2.232017,71.943438,1.1241162188,-0.0348752656,1.1589914844,,,422.4956868157,,0.0633788841,,3.5377318129564E-07,,0,
0.045,94.405057,1.174053,74.175627,-2.232188,71.943439,1.1241162344,-0.0348779375,1.1589941719,,,422.486725014,,0.0633775388,,3.53754594403626E-07,,1.38998084153741E-08,
0.046,94.405279,1.174063,74.175802,-2.232363,71.943439,1.1241162344,-0.0348806719,1.1589969063,,,422.4775988734,,0.0633761621,,3.5375459440389E-07,,1.38998084153741E-08,
0.047,94.405507,1.174073,74.17598,-2.232542,71.943438,1.1241162188,-0.0348834688,1.1589996875,,,422.4682261829,,0.0633747539,,3.5377318129564E-07,,0,
0.048,94.405739,1.174083,74.176163,-2.232725,71.943438,1.1241162188,-0.0348863281,1.1590025469,,,422.4586891659,,0.0633733142,,3.5377318129564E-07,,0,
0.049,94.405976,1.174094,74.176349,-2.232911,71.943438,1.1241162188,-0.0348892344,1.1590054531,,,422.4489467209,,0.063371851,,3.5377318129564E-07,,0,
0.05,94.406218,1.174105,74.176539,-2.233101,71.943438,1.1241162188,-0.0348922031,1.1590084219,,,422.4389988551,,0.0633703563,,3.5377318129564E-07,,0,
0.051,94.406465,1.174116,74.176733,-2.233295,71.943438,1.1241162188,-0.0348952344,1.1590114531,,,422.4288455756,,0.0633688302,,3.5377318129564E-07,,0,
0.052,94.406717,1.174127,74.176931,-2.233493,71.943438,1.1241162188,-0.0348983281,1.1590145469,,,422.4184868898,,0.0633672726,,3.5377318129564E-07,,0,
0.053,94.406973,1.174138,74.177132,-2.233694,71.943438,1.1241162188,-0.0349014688,1.1590176875,,,422.4079639106,,0.0633656914,,3.5377318129564E-07,,0,
0.054,94.407234,1.17415,74.177338,-2.233899,71.943439,1.1241162344,-0.0349046719,1.1590209063,,,422.3972355393,,0.0633640788,,3.53754594403626E-07,,1.38998084153741E-08,
0.055,94.407501,1.174162,74.177547,-2.234109,71.943438,1.1241162188,-0.0349079531,1.1590241719,,,422.3862606798,,0.0633624269,,3.5377318129564E-07,,0,
0.056,94.407772,1.174174,74.17776,-2.234322,71.943438,1.1241162188,-0.0349112813,1.1590275,,,422.3751215487,,0.0633607514,,3.5377318129564E-07,,0,
0.057,94.408047,1.174186,74.177976,-2.234538,71.943438,1.1241162188,-0.0349146563,1.159030875,,,422.3638181526,,0.0633590523,,3.5377318129564E-07,,0,
0.058,94.408328,1.174199,74.178197,-2.234759,71.943438,1.1241162188,-0.0349181094,1.1590343281,,,422.3522682931,,0.063357314,,3.5377318129564E-07,,0,
0.059,94.408614,1.174212,74.178421,-2.234983,71.943438,1.1241162188,-0.0349216094,1.1590378281,,,422.3405130823,,0.063355552,,3.5377318129564E-07,,0,
0.06,94.408904,1.174225,74.17865,-2.235211,71.943439,1.1241162344,-0.0349251719,1.1590414063,,,422.3285936299,,0.0633537586,,3.5375459440389E-07,,1.38998084153741E-08,
0.061,94.409199,1.174238,74.178881,-2.235443,71.943438,1.1241162188,-0.0349287969,1.1590450156,,,422.3164688424,,0.0633519338,,3.5377318129564E-07,,0,
0.062,94.409499,1.174251,74.179117,-2.235679,71.943438,1.1241162188,-0.0349324844,1.1590487031,,,422.3041387285,,0.0633500775,,3.5377318129564E-07,,0,
0.063,94.409804,1.174265,74.179357,-2.235919,71.943438,1.1241162188,-0.0349362344,1.1590524531,,,422.2916032972,,0.0633481899,,3.5377318129564E-07,,0,
0.064,94.410114,1.174279,74.1796,-2.236162,71.943438,1.1241162188,-0.0349400313,1.15905625,,,422.2788625576,,0.0633462786,,3.53773181295904E-07,,0,
0.065,94.410429,1.174293,74.179847,-2.236409,71.943438,1.1241162188,-0.0349438906,1.1590601094,,,422.2659165192,,0.0633443359,,3.5377318129564E-07,,0,
0.066,94.410748,1.174307,74.180098,-2.23666,71.943438,1.1241162188,-0.0349478125,1.1590640313,,,422.2528062889,,0.0633423618,,3.5377318129564E-07,,0,
0.067,94.411072,1.174322,74.180353,-2.236915,71.943438,1.1241162188,-0.0349517969,1.1590680156,,,422.2394907774,,0.0633403562,,3.5377318129564E-07,,0,
0.068,94.411402,1.174336,74.180612,-2.237174,71.943438,1.1241162188,-0.0349558438,1.1590720625,,,422.2259288981,,0.0633383192,,3.5377318129564E-07,,0,
0.069,94.411736,1.174351,74.180874,-2.237436,71.943438,1.1241162188,-0.0349599375,1.1590761563,,,422.2122028542,,0.0633362587,,3.5377318129564E-07,,0,
0.07,94.412075,1.174367,74.181141,-2.237703,71.943438,1.1241162188,-0.0349641094,1.1590803281,,,422.1982715588,,0.0633341589,,3.5377318129564E-07,,0,
0.071,94.412419,1.174382,74.181411,-2.237973,71.943438,1.1241162188,-0.0349683281,1.1590845469,,,422.184135022,,0.0633320355,,3.5377318129564E-07,,0,
0.072,94.412767,1.174398,74.181685,-2.238247,71.943438,1.1241162188,-0.0349726094,1.1590888281,,,422.1698343477,,0.0633298807,,3.5377318129564E-07,,0,
0.073,94.413121,1.174413,74.181963,-2.238525,71.943438,1.1241162188,-0.0349769531,1.1590931719,,,422.1552873585,,0.0633276945,,3.5377318129564E-07,,0,
0.074,94.413479,1.174429,74.182244,-2.238806,71.943438,1.1241162188,-0.0349813438,1.1590975625,,,422.1405762515,,0.0633254847,,3.5377318129564E-07,,0,
0.075,94.413843,1.174446,74.18253,-2.239092,71.943438,1.1241162188,-0.0349858125,1.1591020313,,,422.1256188524,,0.0633232356,,3.5377318129564E-07,,0,
0.076,94.414211,1.174462,74.182819,-2.239381,71.943438,1.1241162188,-0.0349903281,1.1591065469,,,422.1104973557,,0.063320963,,3.5377318129564E-07,,0,
0.077,94.414584,1.174479,74.183112,-2.239674,71.943438,1.1241162188,-0.0349949063,1.159111125,,,422.0951706802,,0.063318659,,3.5377318129564E-07,,0,
0.078,94.414962,1.174496,74.183409,-2.239971,71.943438,1.1241162188,-0.0349995469,1.1591157656,,,422.0796388372,,0.0633163235,,3.5377318129564E-07,,0,
0.079,94.415345,1.174513,74.18371,-2.240272,71.943438,1.1241162188,-0.03500425,1.1591204688,,,422.063901838,,0.0633139567,,3.5377318129564E-07,,0,
0.08,94.415733,1.17453,74.184015,-2.240577,71.943438,1.1241162188,-0.0350090156,1.1591252344,,,422.0479596941,,0.0633115584,,3.5377318129564E-07,,0,
0.081,94.416125,1.174548,74.184324,-2.240885,71.943439,1.1241162344,-0.0350138281,1.1591300625,,,422.031853504,,0.0633091366,,3.5375459440389E-07,,1.38998084153741E-08,
0.082,94.416523,1.174565,74.184636,-2.241198,71.943438,1.1241162188,-0.0350187188,1.1591349375,,,422.0155011049,,0.0633066756,,3.5377318129564E-07,,0,
0.083,94.416926,1.174583,74.184952,-2.241514,71.943438,1.1241162188,-0.0350236563,1.159139875,,,421.9989435965,,0.063304191,,3.5377318129564E-07,,0,
0.084,94.417333,1.174602,74.185272,-2.241834,71.943438,1.1241162188,-0.0350286563,1.159144875,,,421.9822220753,,0.0633016749,,3.5377318129564E-07,,0,
0.085,94.417745,1.17462,74.185596,-2.242158,71.943438,1.1241162188,-0.0350337188,1.1591499375,,,421.9652954674,,0.0632991275,,3.5377318129564E-07,,0,
0.086,94.418163,1.174639,74.185924,-2.242486,71.943438,1.1241162188,-0.0350388438,1.1591550625,,,421.9481227025,,0.0632965487,,3.5377318129564E-07,,0,
0.087,94.418585,1.174658,74.186256,-2.242818,71.943438,1.1241162188,-0.0350440313,1.15916025,,,421.9307859593,,0.0632939385,,3.5377318129564E-07,,0,
0.088,94.419012,1.174677,74.186591,-2.243153,71.943438,1.1241162188,-0.0350492656,1.1591654844,,,421.913244167,,0.0632913048,,3.5377318129564E-07,,0,
0.089,94.419444,1.174696,74.186931,-2.243493,71.943438,1.1241162188,-0.0350545781,1.1591707969,,,421.8954973384,,0.0632886318,,3.5377318129564E-07,,0,
0.09,94.419881,1.174716,74.187274,-2.243836,71.943438,1.1241162188,-0.0350599375,1.1591761563,,,421.8775454865,,0.0632859353,,3.5377318129564E-07,,0,
0.091,94.420323,1.174735,74.187621,-2.244183,71.943438,1.1241162188,-0.0350653594,1.1591815781,,,421.8593886243,,0.0632832074,,3.53773181295904E-07,,0,
0.092,94.420769,1.174755,74.187972,-2.244534,71.943438,1.1241162188,-0.0350708438,1.1591870625,,,421.8410678427,,0.0632804481,,3.5377318129564E-07,,0,
0.093,94.421221,1.174776,74.188327,-2.244889,71.943438,1.1241162188,-0.0350763906,1.1591926094,,,421.822500999,,0.0632776575,,3.5377318129564E-07,,0,
0.094,94.421678,1.174796,74.188686,-2.245248,71.943438,1.1241162188,-0.035082,1.1591982188,,,421.8037291853,,0.0632748354,,3.5377318129564E-07,,0,
0.095,94.422139,1.174817,74.189049,-2.24561,71.943439,1.1241162344,-0.0350876563,1.1592038906,,,421.7847934901,,0.0632719898,,3.5375459440389E-07,,1.38998084153741E-08,
0.096,94.422606,1.174838,74.189415,-2.245977,71.943438,1.1241162188,-0.0350933906,1.1592096094,,,421.7656117767,,0.063269105,,3.5377318129564E-07,,0,
0.097,94.423077,1.174859,74.189786,-2.246347,71.943439,1.1241162344,-0.0350991719,1.1592154063,,,421.7462662078,,0.0632661967,,3.5375459440389E-07,,1.38998084153741E-08,
0.098,94.423554,1.17488,74.19016,-2.246722,71.943438,1.1241162188,-0.0351050313,1.15922125,,,421.7266746507,,0.0632632492,,3.5377318129564E-07,,0,
0.099,94.424035,1.174901,74.190538,-2.2471,71.943438,1.1241162188,-0.0351109375,1.1592271563,,,421.7069192646,,0.0632602781,,3.5377318129564E-07,,0,
0.1,94.424521,1.174923,74.19092,-2.247482,71.943438,1.1241162188,-0.0351169063,1.159233125,,,421.686958991,,0.0632572756,,3.5377318129564E-07,,0,
0.101,94.425013,1.174945,74.191306,-2.247868,71.943438,1.1241162188,-0.0351229375,1.1592391563,,,421.6667527755,,0.0632542418,,3.5377318129564E-07,,0,
0.102,94.425509,1.174967,74.191696,-2.248258,71.943438,1.1241162188,-0.0351290313,1.15924525,,,421.6463827719,,0.0632511767,,3.53773181295904E-07,,0,
0.103,94.42601,1.17499,74.19209,-2.248652,71.943438,1.1241162188,-0.0351351875,1.1592514063,,,421.6258079249,,0.0632480801,,3.53773181295904E-07,,0,
0.104,94.426516,1.175012,74.192488,-2.249049,71.943439,1.1241162344,-0.0351413906,1.159257625,,,421.6050282498,,0.0632449601,,3.5375459440389E-07,,1.38998084153741E-08,
0.105,94.427027,1.175035,74.192889,-2.249451,71.943438,1.1241162188,-0.0351476719,1.1592638906,,,421.5840437615,,0.0632418009,,3.5377318129564E-07,,0,
0.106,94.427543,1.175058,74.193295,-2.249857,71.943438,1.1241162188,-0.0351540156,1.1592702344,,,421.5628544755,,0.0632386103,,3.5377318129564E-07,,0,
0.107,94.428064,1.175082,74.193704,-2.250266,71.943438,1.1241162188,-0.0351604063,1.159276625,,,421.5414604072,,0.0632353962,,3.5377318129564E-07,,0,
0.108,94.428591,1.175105,74.194118,-2.250679,71.943439,1.1241162344,-0.0351668594,1.1592830938,,,421.5198205105,,0.0632321507,,3.5375459440389E-07,,1.38998084153741E-08,
0.109,94.429122,1.175129,74.194535,-2.251097,71.943438,1.1241162188,-0.0351733906,1.1592896094,,,421.4980169258,,0.0632288661,,3.5377318129564E-07,,0,
0.11,94.429658,1.175153,74.194956,-2.251518,71.943438,1.1241162188,-0.0351799688,1.1592961875,,,421.4760086062,,0.0632255579,,3.5377318129564E-07,,0,
0.111,94.430199,1.175177,74.195381,-2.251943,71.943438,1.1241162188,-0.0351866094,1.1593028281,,,421.4537955678,,0.0632222184,,3.5377318129564E-07,,0,
0.112,94.430745,1.175202,74.19581,-2.252372,71.943438,1.1241162188,-0.0351933125,1.1593095313,,,421.4313778267,,0.0632188476,,3.5377318129564E-07,,0,
0.113,94.431296,1.175226,74.196243,-2.252805,71.943438,1.1241162188,-0.0352000781,1.1593162969,,,421.4087553995,,0.0632154455,,3.5377318129564E-07,,0,
0.114,94.431852,1.175251,74.19668,-2.253242,71.943438,1.1241162188,-0.0352069063,1.159323125,,,421.3859283026,,0.0632120119,,3.5377318129564E-07,,0,
0.115,94.432413,1.175276,74.197121,-2.253682,71.943439,1.1241162344,-0.0352137813,1.1593300156,,,421.3628965526,,0.063208555,,3.5375459440389E-07,,1.38998084153741E-08,
0.116,94.432979,1.175301,74.197565,-2.254127,71.943438,1.1241162188,-0.0352207344,1.1593369531,,,421.3396601665,,0.0632050588,,3.5377318129564E-07,,0,
0.117,94.43355,1.175327,74.198014,-2.254576,71.943438,1.1241162188,-0.03522775,1.1593439688,,,421.3162191612,,0.0632015313,,3.5377318129564E-07,,0,
0.118,94.434126,1.175353,74.198467,-2.255029,71.943438,1.1241162188,-0.0352348281,1.1593510469,,,421.2925735537,,0.0631979725,,3.5377318129564E-07,,0,
0.119,94.434707,1.175379,74.198923,-2.255485,71.943438,1.1241162188,-0.0352419531,1.1593581719,,,421.2687233616,,0.0631943902,,3.53773181295904E-07,,0,
0.12,94.435293,1.175405,74.199384,-2.255946,71.943438,1.1241162188,-0.0352491563,1.159365375,,,421.244668602,,0.0631907687,,3.5377318129564E-07,,0,
0.121,94.435884,1.175431,74.199848,-2.25641,71.943438,1.1241162188,-0.0352564063,1.159372625,,,421.2204092927,,0.0631871238,,3.5377318129564E-07,,0,
0.122,94.43648,1.175458,74.200317,-2.256878,71.943439,1.1241162344,-0.0352637188,1.1593799531,,,421.1959454513,,0.0631834476,,3.5375459440389E-07,,1.38998084153741E-08,
0.123,94.437082,1.175485,74.200789,-2.257351,71.943438,1.1241162188,-0.0352711094,1.1593873281,,,421.1712360508,,0.0631797322,,3.5377318129564E-07,,0,
0.124,94.437688,1.175512,74.201265,-2.257827,71.943438,1.1241162188,-0.0352785469,1.1593947656,,,421.1463632003,,0.0631759933,,3.5377318129564E-07,,0,
0.125,94.438299,1.175539,74.201746,-2.258307,71.943439,1.1241162344,-0.0352860469,1.1594022813,,,421.1212858719,,0.0631722231,,3.5375459440389E-07,,1.38998084153741E-08,
0.126,94.438915,1.175567,74.20223,-2.258792,71.943438,1.1241162188,-0.035293625,1.1594098438,,,421.0960040838,,0.0631684138,,3.5377318129564E-07,,0,
0.127,94.439537,1.175595,74.202718,-2.25928,71.943438,1.1241162188,-0.03530125,1.1594174688,,,421.0704768146,,0.063164581,,3.5377318129564E-07,,0,
0.128,94.440163,1.175623,74.20321,-2.259772,71.943438,1.1241162188,-0.0353089375,1.1594251563,,,421.0447861641,,0.063160717,,3.5377318129564E-07,,0,
0.129,94.440795,1.175651,74.203707,-2.260268,71.943439,1.1241162344,-0.0353166875,1.1594329219,,,421.0188500724,,0.0631568216,,3.5375459440389E-07,,1.38998084153741E-08,
0.13,94.441431,1.175679,74.204207,-2.260768,71.943439,1.1241162344,-0.0353245,1.1594407344,,,420.9927506347,,0.0631528949,,3.5375459440389E-07,,1.38998084153741E-08,
0.131,94.442073,1.175708,74.204711,-2.261273,71.943438,1.1241162188,-0.0353323906,1.1594486094,,,420.9664057964,,0.0631489291,,3.5377318129564E-07,,0,
0.132,94.44272,1.175737,74.205219,-2.261781,71.943438,1.1241162188,-0.0353403281,1.1594565469,,,420.9398566141,,0.0631449399,,3.5377318129564E-07,,0,
0.133,94.443371,1.175766,74.205731,-2.262293,71.943438,1.1241162188,-0.0353483281,1.1594645469,,,420.9131441398,,0.0631409194,,3.5377318129564E-07,,0,
0.134,94.444028,1.175795,74.206247,-2.262809,71.943438,1.1241162188,-0.0353563906,1.1594726094,,,420.8861863268,,0.0631368676,,3.5377318129564E-07,,0,
0.135,94.44469,1.175825,74.206767,-2.263329,71.943438,1.1241162188,-0.0353645156,1.1594807344,,,420.8590242287,,0.0631327845,,3.5377318129564E-07,,0,
0.136,94.445357,1.175855,74.207291,-2.263853,71.943438,1.1241162188,-0.0353727031,1.1594889219,,,420.8316578652,,0.0631286701,,3.5377318129564E-07,,0,
0.137,94.446029,1.175885,74.207819,-2.264381,71.943438,1.1241162188,-0.0353809531,1.1594971719,,,420.8040872563,,0.0631245245,,3.5377318129564E-07,,0,
0.138,94.446706,1.175915,74.208352,-2.264913,71.943439,1.1241162344,-0.0353892656,1.1595055,,,420.7763124223,,0.0631203476,,3.53754594403626E-07,,1.38998084153741E-08,
0.139,94.447389,1.175946,74.208888,-2.265449,71.943439,1.1241162344,-0.0353976406,1.159513875,,,420.7482923591,,0.0631161395,,3.5375459440389E-07,,1.38998084153741E-08,
0.14,94.448076,1.175976,74.209428,-2.265989,71.943439,1.1241162344,-0.0354060781,1.1595223125,,,420.7201091371,,0.0631119,,3.5375459440389E-07,,1.38998084153741E-08,
0.141,94.448769,1.176007,74.209972,-2.266534,71.943438,1.1241162188,-0.0354145938,1.1595308125,,,420.6916807298,,0.0631076215,,3.53773181295904E-07,,0,
0.142,94.449466,1.176039,74.21052,-2.267082,71.943438,1.1241162188,-0.0354231563,1.159539375,,,420.6630892024,,0.0631033196,,3.5377318129564E-07,,0,
0.143,94.450169,1.17607,74.211072,-2.267634,71.943438,1.1241162188,-0.0354317813,1.159548,,,420.6342525342,,0.0630989864,,3.5377318129564E-07,,0,
0.144,94.450877,1.176102,74.211628,-2.26819,71.943438,1.1241162188,-0.0354404688,1.1595566875,,,420.6052117677,,0.0630946219,,3.5377318129564E-07,,0,
0.145,94.45159,1.176134,74.212189,-2.26875,71.943439,1.1241162344,-0.0354492188,1.1595654531,,,420.5759669243,,0.0630902263,,3.5375459440389E-07,,1.38998084153741E-08,
0.146,94.452308,1.176166,74.212753,-2.269314,71.943439,1.1241162344,-0.0354580313,1.1595742656,,,420.5465180252,,0.0630857993,,3.53754594403626E-07,,1.38998084153741E-08,
0.147,94.453031,1.176198,74.213321,-2.269883,71.943438,1.1241162188,-0.0354669219,1.1595831406,,,420.5168650921,,0.0630813333,,3.53773181295904E-07,,0,
0.148,94.45376,1.176231,74.213893,-2.270455,71.943438,1.1241162188,-0.0354758594,1.1595920781,,,420.4869671351,,0.0630768439,,3.5377318129564E-07,,0,
0.149,94.454493,1.176263,74.21447,-2.271031,71.943439,1.1241162344,-0.0354848594,1.1596010938,,,420.4569062005,,0.0630723233,,3.53754594403626E-07,,1.38998084153741E-08,
0.15,94.455232,1.176296,74.21505,-2.271612,71.943438,1.1241162188,-0.0354939375,1.1596101563,,,420.4266002888,,0.0630677635,,3.5377318129564E-07,,0,
0.151,94.455976,1.17633,74.215635,-2.272196,71.943439,1.1241162344,-0.0355030625,1.1596192969,,,420.3960904338,,0.0630631805,,3.53754594403626E-07,,1.38998084153741E-08,
0.152,94.456725,1.176363,74.216223,-2.272785,71.943438,1.1241162188,-0.0355122656,1.1596284844,,,420.3653766576,,0.0630585583,,3.5377318129564E-07,,0,
0.153,94.457479,1.176397,74.216816,-2.273377,71.943439,1.1241162344,-0.0355215156,1.15963775,,,420.3344589828,,0.0630539128,,3.5375459440389E-07,,1.38998084153741E-08,
0.154,94.458238,1.176431,74.217412,-2.273974,71.943438,1.1241162188,-0.0355308438,1.1596470625,,,420.303337432,,0.0630492282,,3.5377318129564E-07,,0,
0.155,94.459003,1.176465,74.218013,-2.274575,71.943438,1.1241162188,-0.0355402344,1.1596564531,,,420.2719710269,,0.0630445123,,3.5377318129564E-07,,0,
0.156,94.459772,1.176499,74.218618,-2.275179,71.943439,1.1241162344,-0.0355496719,1.1596659063,,,420.240441794,,0.0630397732,,3.53754594403626E-07,,1.38998084153741E-08,
0.157,94.460547,1.176534,74.219226,-2.275788,71.943438,1.1241162188,-0.0355591875,1.1596754063,,,420.208667756,,0.063034995,,3.5377318129564E-07,,0,
0.158,94.461327,1.176569,74.219839,-2.276401,71.943438,1.1241162188,-0.0355687656,1.1596849844,,,420.1766899371,,0.0630301855,,3.53773181295904E-07,,0,
0.159,94.462113,1.176604,74.220456,-2.277018,71.943438,1.1241162188,-0.0355784063,1.159694625,,,420.1444673658,,0.0630253449,,3.5377318129564E-07,,0,
