Time,Temp,Pressure,KE,U,H(t),H(t)/N,U(t)/N,T(t)/N,time averaged values,,,Stdv T,,Stdv U/N,,STDV E/N,,Energy Drift
0.13,94.442086,1.175729,857.476774,-25.762857,831.713917,12.9955299531,-0.4025446406,13.3980745938,,,327.6025160185,,0.4342527797,,140.9041924342,,10.5606640456,
0.14,94.448382,1.176013,857.533945,-25.820025,831.71392,12.99553,-0.4034378906,13.3989678906,,,327.3746430614,,0.4354308429,,140.904193547,,10.5606640873,
0.15,94.455133,1.176318,857.595236,-25.881314,831.713922,12.9955300313,-0.4043955313,13.3999255625,,,327.1303902375,,0.4366956001,,140.9041942889,,10.5606641151,
0.16,94.462341,1.176644,857.660685,-25.946759,831.713926,12.9955300938,-0.4054181094,13.4009482031,,,326.8697036586,,0.4380481453,,140.9041957727,,10.5606641707,
0.17,94.470012,1.17699,857.730329,-26.0164,831.713929,12.9955301406,-0.40650625,13.4020363906,,,326.5923862269,,0.4394897056,,140.9041968856,,10.5606642123,
0.18,94.478149,1.177358,857.804209,-26.090276,831.713933,12.9955302031,-0.4076605625,13.4031907656,,,326.2983508699,,0.4410215183,,140.9041983694,,10.5606642679,
0.19,94.486758,1.177747,857.882368,-26.168431,831.713937,12.9955302656,-0.4088817344,13.404412,,,325.9874036772,,0.4426449567,,140.9041998531,,10.5606643235,
0.2,94.495842,1.178157,857.964852,-26.250911,831.713941,12.9955303281,-0.4101704844,13.4057008125,,,325.6594607532,,0.4443614687,,140.9042013369,,10.5606643791,
0.21,94.505409,1.178589,858.051708,-26.337764,831.713944,12.995530375,-0.4115275625,13.4070579375,,,325.3142594038,,0.446172579,,140.9042024498,,10.5606644208,
0.22,94.515462,1.179043,858.142989,-26.42904,831.713949,12.9955304531,-0.41295375,13.4084842031,,,324.9517191956,,0.4480798897,,140.9042043045,,10.5606644903,
0.23,94.526009,1.179519,858.238748,-26.524794,831.713954,12.9955305313,-0.4144499063,13.4099804375,,,324.5715811891,,0.4500851454,,140.9042061592,,10.5606645598,
0.24,94.537091,1.179936,858.339366,-26.603301,831.736065,12.9958760156,-0.4156765781,13.4115525938,,,324.1724002514,,0.4517325588,,140.9124082903,,10.5609718985,
0.25,94.548731,1.18042,858.445049,-26.697969,831.74708,12.996048125,-0.4171557656,13.4132038906,,,323.7533842704,,0.4537231018,,140.9164944214,,10.5611250049,
0.26,94.560923,1.180908,858.555742,-26.792201,831.763541,12.9963053281,-0.4186281406,13.4149334688,,,323.3147879881,,0.455708823,,140.9226009143,,10.5613538096,
0.27,94.573757,1.181219,858.672266,-26.837666,831.8346,12.997415625,-0.4193385313,13.4167541563,,,322.8534175144,,0.4566684432,,140.9489629987,,10.5623415161,
0.28,94.587319,1.181543,858.795402,-26.884148,831.911254,12.9986133438,-0.4200648125,13.4186781563,,,322.3662340941,,0.4576505724,,140.9774035292,,10.563406992,
0.29,94.60162,1.18188,858.925247,-26.93206,831.993187,12.9998935469,-0.4208134375,13.4207069844,,,321.8529022801,,0.4586640206,,141.0078058716,,10.564545845,
0.3,94.616641,1.18231,859.061628,-27.002806,832.058822,13.0009190938,-0.4219188438,13.4228379375,,,321.3141666419,,0.4601625095,,141.0321629863,,10.5654581589,
0.31,94.632379,1.182712,859.204522,-27.0637,832.140822,13.0022003438,-0.4228703125,13.4250706563,,,320.7501995271,,0.4614542778,,141.0625960997,,10.5665979432,
0.32,94.648863,1.183125,859.354186,-27.12559,832.228596,13.0035718125,-0.4238373438,13.4274091563,,,320.1600308448,,0.4627690298,,141.0951757878,,10.567817985,
0.33,94.666053,1.183715,859.510259,-27.232437,832.277822,13.0043409688,-0.4255068281,13.4298477969,,,319.545164442,,0.4650432216,,141.1134489922,,10.568502217,
0.34,94.683918,1.184294,859.672462,-27.334374,832.338088,13.005282625,-0.4270995938,13.4323822188,,,318.9067803279,,0.4672181022,,141.1358219707,,10.5693399028,
0.35,94.702493,1.184843,859.841113,-27.426375,832.414738,13.0064802813,-0.4285371094,13.4350173906,,,318.2437020978,,0.4691853489,,141.1642798609,,10.5704053231,
0.36,94.721818,1.185364,860.016578,-27.508939,832.507639,13.0079318594,-0.4298271719,13.4377590313,,,317.5545832745,,0.4709543241,,141.198775115,,10.5716966292,
0.37,94.741909,1.185941,860.198993,-27.604059,832.594934,13.0092958438,-0.4313134219,13.4406092656,,,316.8389412213,,0.4729964442,,141.2311926345,,10.572910013,
0.38,94.762763,1.186551,860.388329,-27.705796,832.682533,13.0106645781,-0.4329030625,13.4435676406,,,316.096974951,,0.4751855135,,141.2637267865,,10.5741276223,
0.39,94.784357,1.187297,860.584388,-27.84159,832.742798,13.0116062188,-0.4350248438,13.4466310625,,,315.3295967789,,0.4781152601,,141.2861113029,,10.5749652943,
0.4,94.806651,1.188157,860.786803,-28.00556,832.781243,13.0122069219,-0.437586875,13.4497937969,,,314.5383213988,,0.4816649022,,141.3003920391,,10.5754996724,
0.41,94.829706,1.188762,860.996132,-28.099908,832.896224,13.0140035,-0.4390610625,13.4530645625,,,313.7210815568,,0.4837133091,,141.3431070582,,10.5770978863,
0.42,94.853593,1.189446,861.213008,-28.212889,833.000119,13.0156268594,-0.4408263906,13.45645325,,,312.8754707803,,0.4861719793,,141.3817092208,,10.5785420068,
0.43,94.878345,1.190272,861.437744,-28.361016,833.076728,13.016823875,-0.443140875,13.45996475,,,312.0004425189,,0.4894049324,,141.4101766526,,10.5796068573,
0.44,94.903981,1.191075,861.670503,-28.500711,833.169792,13.018278,-0.4453236094,13.4636016094,,,311.0954549948,,0.4924636688,,141.4447625159,,10.580900429,
0.45,94.930488,1.191876,861.911172,-28.63726,833.273912,13.019904875,-0.4474571875,13.4673620625,,,310.1611020776,,0.4954627301,,141.4834621911,,10.5823476771,
0.46,94.957886,1.192841,862.159931,-28.81505,833.344881,13.0210137656,-0.4502351563,13.4712489219,,,309.1968189326,,0.4993812223,,141.5098432236,,10.5833341326,
0.47,94.986139,1.193946,862.416447,-29.027873,833.388574,13.0216964688,-0.4535605156,13.4752569844,,,308.2040160415,,0.5040921378,,141.5260862771,,10.5839414569,
0.48,95.015246,1.195049,862.680722,-29.237624,833.443098,13.0225484063,-0.456837875,13.4793862813,,,307.1828733955,,0.5087566929,,141.546357107,,10.58469933,
0.49,95.045251,1.196232,862.953146,-29.466228,833.486918,13.0232330938,-0.4604098125,13.4836429063,,,306.1320004336,,0.5138649764,,141.5626494761,,10.5853084197,
0.5,95.076169,1.197537,863.233862,-29.72485,833.509012,13.0235783125,-0.4644507813,13.4880290938,,,305.0510348513,,0.5196747923,,141.5708644277,,10.585615522,
0.51,95.108031,1.198679,863.52315,-29.937573,833.585577,13.0247746406,-0.4677745781,13.4925492188,,,303.9390651178,,0.5244779887,,141.5993345337,,10.5866797608,
0.52,95.140846,1.199946,863.821092,-30.180842,833.64025,13.0256289063,-0.4715756563,13.4972045625,,,302.7959584808,,0.5299979833,,141.6196660197,,10.5874397051,
0.53,95.174622,1.20142,864.127761,-30.476742,833.651019,13.0257971719,-0.4761990938,13.5019962656,,,301.6216247003,,0.5367511733,,141.6236709065,,10.5875893921,
0.54,95.209418,1.202835,864.443687,-30.754436,833.689251,13.0263945469,-0.4805380625,13.5069326094,,,300.4142132947,,0.5431277437,,141.6378894746,,10.5881208096,
0.55,95.245259,1.204379,864.769104,-31.0633,833.705804,13.0266531875,-0.4853640625,13.51201725,,,299.173072384,,0.5502642878,,141.6440457946,,10.5883508931,
0.56,95.282133,1.205886,865.103891,-31.359744,833.744147,13.0272522969,-0.489996,13.5172482969,,,297.8988409251,,0.5571576667,,141.6583066706,,10.5888838535,
0.57,95.32008,1.207501,865.448426,-31.682285,833.766141,13.0275959531,-0.4950357031,13.5226316563,,,296.5903697173,,0.564706636,,141.6664872023,,10.5891895658,
0.58,95.359165,1.209147,865.803299,-32.009953,833.793346,13.0280210313,-0.5001555156,13.5281765469,,,295.2456693064,,0.5724276159,,141.67660626,,10.5895677101,
0.59,95.399412,1.21072,866.168717,-32.315388,833.853329,13.0289582656,-0.5049279375,13.5338862031,,,293.8641837259,,0.5796719201,,141.6989185617,,10.5904014623,
0.6,95.440818,1.212405,866.544654,-32.647549,833.897105,13.0296422656,-0.5101179531,13.5397602188,,,292.4462961841,,0.5876018165,,141.7152033397,,10.5910099403,
0.61,95.483411,1.214244,866.931378,-33.017821,833.913557,13.0298993281,-0.5159034531,13.5458027813,,,290.9913393433,,0.5965050606,,141.7213237655,,10.59123862,
0.62,95.527267,1.216159,867.329561,-33.405051,833.92451,13.0300704688,-0.5219539219,13.5520243906,,,289.4970303241,,0.6058876753,,141.7253985423,,10.5913908646,
0.63,95.572437,1.218132,867.739678,-33.804242,833.935436,13.0302411875,-0.5281912813,13.5584324688,,,287.9619705815,,0.6156367497,,141.7294633329,,10.5915427339,
0.64,95.618964,1.220122,868.162119,-34.20479,833.957329,13.0305832656,-0.5344498438,13.5650331094,,,286.3850608633,,0.6254971714,,141.7376083427,,10.5918470424,
0.65,95.666845,1.222273,868.596848,-34.644839,833.952009,13.0305001406,-0.5413256094,13.57182575,,,284.7667812424,,0.6364203107,,141.7356290834,,10.5917730954,
0.66,95.71609,1.224421,869.043963,-35.080976,833.962987,13.0306716719,-0.54814025,13.5788119219,,,283.1071841883,,0.6473396394,,141.7397133671,,10.5919256875,
0.67,95.766751,1.226569,869.503932,-35.513687,833.990245,13.0310975781,-0.5549013594,13.5859989375,,,281.4049281059,,0.6582649803,,141.7498547586,,10.5923045685,
0.68,95.818881,1.228759,869.977238,-35.95416,834.023078,13.0316105938,-0.56178375,13.5933943438,,,279.6586707705,,0.6694802007,,141.7620708214,,10.5927609409,
0.69,95.87254,1.231035,870.464427,-36.414026,834.050401,13.0320375156,-0.5689691563,13.6010066719,,,277.8668713316,,0.6812902838,,141.7722371985,,10.5931407254,
0.7,95.927749,1.233377,870.965694,-36.887853,834.077841,13.0324662656,-0.5763727031,13.6088389688,,,276.029324263,,0.6935669175,,141.782447476,,10.5935221361,
0.71,95.984544,1.235868,871.481357,-37.398017,834.08334,13.0325521875,-0.5843440156,13.6168962031,,,274.1453508789,,0.7069075834,,141.7844936687,,10.5935985711,
0.72,96.043001,1.238306,872.012117,-37.890339,834.121778,13.0331527813,-0.5920365469,13.6251893281,,,272.2129838053,,0.71990218,,141.7987969647,,10.594132852,
0.73,96.103204,1.241023,872.558721,-38.453231,834.10549,13.0328982813,-0.6008317344,13.6337300156,,,270.2300442709,,0.7349044495,,141.7927358931,,10.5939064519,
0.74,96.165194,1.243692,873.121553,-38.999439,834.122114,13.0331580313,-0.6093662344,13.6425242656,,,268.1958200723,,0.7496099551,,141.798921998,,10.5941375223,
0.75,96.228987,1.246395,873.700751,-39.551283,834.149468,13.0335854375,-0.6179887969,13.6515742344,,,266.1104538537,,0.7646151361,,141.8091012326,,10.5945177377,
0.76,96.29463,1.249155,874.296754,-40.114414,834.18234,13.0340990625,-0.6267877188,13.6608867813,,,263.9731084841,,0.7800805119,,141.8213343619,,10.5949746522,
0.77,96.362207,1.252097,874.910306,-40.722321,834.187985,13.0341872656,-0.6362862656,13.6704735313,,,261.7817944087,,0.7969493791,,141.8234351699,,10.5950531166,
0.78,96.431766,1.2551,875.541866,-41.342914,834.198952,13.034358625,-0.6459830313,13.6803416563,,,259.5357492178,,0.8143564037,,141.8275166247,,10.5952055558,
0.79,96.50337,1.258268,876.191984,-42.0038,834.188184,13.034190375,-0.656309375,13.69049975,,,257.233779251,,0.833100373,,141.8235092288,,10.5950558827,
0.8,96.577095,1.261461,876.861364,-42.667595,834.193769,13.0342776406,-0.6666811719,13.7009588125,,,254.8743364364,,0.8521415238,,141.8255877234,,10.5951335131,
0.81,96.65301,1.264659,877.550627,-43.329494,834.221133,13.0347052031,-0.6770233438,13.7117285469,,,252.4561663296,,0.8713425148,,141.8357716367,,10.5955138674,
0.82,96.731191,1.268113,878.260457,-44.055629,834.204828,13.0344504375,-0.6883692031,13.7228196406,,,249.9778632233,,0.8926529936,,141.8297034482,,10.5952872311,
0.83,96.811746,1.271682,878.991855,-44.808978,834.182877,13.0341074531,-0.7001402813,13.7342477344,,,247.4370923459,,0.9150342553,,141.8215342078,,10.5949821164,
0.84,96.894757,1.275264,879.745543,-45.562666,834.182877,13.0341074531,-0.7119166563,13.7460241094,,,244.8324349881,,0.937702892,,141.8215342078,,10.5949821164,
0.85,96.980327,1.27907,880.522467,-46.372347,834.15012,13.033595625,-0.7245679219,13.7581635469,,,242.1619087096,,0.9623646679,,141.8093438655,,10.5945268003,
0.86,97.068553,1.282957,881.323507,-47.200711,834.122796,13.0331686875,-0.7375111094,13.7706797969,,,239.4238255175,,0.9879267763,,141.799175786,,10.594147002,
0.87,97.159513,1.286721,882.149362,-47.993755,834.155607,13.0336813594,-0.7499024219,13.7835837813,,,236.617191726,,1.0127128885,,141.8113857867,,10.5946030686,
0.88,97.253367,1.290759,883.001501,-48.856833,834.144668,13.0335104375,-0.7633880156,13.7968984531,,,233.7386070936,,1.0400368367,,141.8073149838,,10.5944510186,
0.89,97.350238,1.294867,883.881036,-49.736175,834.144861,13.0335134531,-0.7771277344,13.8106411875,,,230.7859641422,,1.0682497504,,141.8073868057,,10.5944537013,
0.9,97.450212,1.29915,884.788734,-50.660148,834.128586,13.0332591563,-0.7915648125,13.8248239688,,,227.7584206564,,1.0983014012,,141.8013303881,,10.5942274819,
0.91,97.553369,1.303526,885.725337,-51.607571,834.117766,13.0330900938,-0.8063682969,13.8394583906,,,224.6554397841,,1.1295486109,,141.7973040119,,10.5940770859,
0.92,97.659804,1.307913,886.691706,-52.557459,834.134247,13.0333476094,-0.8212102969,13.8545579063,,,221.4761640145,,1.1613171177,,141.803437002,,10.5943061687,
0.93,97.769658,1.312519,887.689114,-53.565706,834.123408,13.03317825,-0.8369641563,13.8701424063,,,218.2185209249,,1.1955194135,,141.7994035255,,10.5941555087,
0.94,97.883038,1.317242,888.718528,-54.605984,834.112544,13.0330085,-0.8532185,13.886227,,,214.8816270566,,1.2313285545,,141.7953608034,,10.5940045011,
0.95,98.000061,1.322082,889.781032,-55.67929,834.101742,13.0328397188,-0.8699889063,13.902828625,,,211.4644782778,,1.2688284457,,141.79134121,,10.5938543554,
0.96,98.120901,1.327039,890.878184,-56.787226,834.090958,13.0326712188,-0.8873004063,13.919971625,,,207.9646139466,,1.3081282722,,141.7873283715,,10.5937044599,
0.97,98.245676,1.332052,892.011065,-57.914617,834.096448,13.032757,-0.9049158906,13.9376728906,,,204.3814276226,,1.3487334467,,141.7893712505,,10.5937807698,
0.98,98.374477,1.33724,893.180498,-59.094979,834.085519,13.0325862344,-0.9233590469,13.9559452813,,,200.7152867683,,1.3919115098,,141.7853044846,,10.5936288588,
0.99,98.507422,1.342515,894.387559,-60.307455,834.080104,13.032501625,-0.9423039844,13.9748056094,,,196.9659905547,,1.4369726296,,141.7832895426,,10.5935535914,
1,98.644664,1.347916,895.633637,-61.564321,834.069316,13.0323330625,-0.9619425156,13.9942755781,,,193.132591955,,1.4844412061,,141.7792753296,,10.5934036402,
1.01,98.786306,1.353414,896.919659,-62.861238,834.058421,13.0321628281,-0.9822068438,14.0143696719,,,189.2157956837,,1.53423101,,141.7752213597,,10.5932522018,
1.02,98.932396,1.358935,898.246066,-64.182102,834.063964,13.0322494375,-1.0028453438,14.0350947813,,,185.218034577,,1.5857843336,,141.7772838724,,10.5933292485,
1.03,99.083008,1.364651,899.613531,-65.576881,834.03665,13.0318226563,-1.0246387656,14.0564614219,,,181.1412155663,,1.6411472966,,141.7671206631,,10.5929495891,
1.04,99.238182,1.370399,901.022413,-67.007643,834.01477,13.0314807813,-1.0469944219,14.0784752031,,,176.9883607591,,1.6989255144,,141.7589796423,,10.5926454613,
1.05,99.397903,1.376054,902.472585,-68.446981,834.025604,13.0316500625,-1.0694840781,14.1011341406,,,172.7641118972,,1.7580586109,,141.7630106835,,10.5927960518,
1.06,99.562127,1.381832,903.963643,-69.960023,834.00362,13.0313065625,-1.0931253594,14.1244319219,,,168.473968705,,1.821310323,,141.7548310859,,10.5924904784,
1.07,99.730738,1.387552,905.49453,-71.507497,833.987033,13.0310473906,-1.1173046406,14.1483520313,,,164.1253403581,,1.8871577088,,141.748659709,,10.5922599223,
1.08,99.903551,1.393148,907.063565,-73.082268,833.981297,13.0309577656,-1.1419104375,14.1728682031,,,159.7273411822,,1.9553670193,,141.7465255979,,10.592180193,
1.09,100.080225,1.398704,908.667656,-74.719472,833.948184,13.030440375,-1.16749175,14.197932125,,,155.2928268709,,2.0275643923,,141.7342060343,,10.5917199286,
1.1,100.260247,1.403978,910.302148,-76.370798,833.93135,13.0301773438,-1.1932937188,14.2234710625,,,150.8384909453,,2.1017103066,,141.727943215,,10.5914859393,
1.11,100.442985,1.408943,911.961292,-78.046845,833.914447,13.0299132344,-1.2194819531,14.2493951875,,,146.3832422905,,2.178327746,,141.7216548645,,10.5912509908,
1.12,100.627564,1.413486,913.637163,-79.739975,833.897188,13.0296435625,-1.2459371094,14.2755806719,,,141.9509080908,,2.2571187928,,141.7152342168,,10.591011094,
1.13,100.812817,1.417449,915.31915,-81.434003,833.885147,13.0294554219,-1.2724062969,14.3018617188,,,137.5709014755,,2.3373524931,,141.7107548419,,10.5908437264,
1.14,100.997271,1.420704,916.993875,-83.126404,833.867471,13.0291792344,-1.2988500625,14.3280292969,,,133.2779798538,,2.4189083521,,141.7041793177,,10.5905980334,
1.15,101.179061,1.423032,918.644422,-84.794981,833.849441,13.0288975156,-1.3249215781,14.3538190938,,,129.1136387871,,2.5006852987,,141.6974722616,,10.5903474199,
1.16,101.355883,1.424075,920.249855,-86.386102,833.863753,13.0291211406,-1.3497828438,14.3789039844,,,125.1265123064,,2.5799323808,,141.7027962301,,10.5905463539,
1.17,101.524993,1.42387,921.785271,-87.956848,833.828423,13.0285691094,-1.37432575,14.4028948594,,,121.3717828437,,2.6593771913,,141.689653887,,10.5900552737,
1.18,101.683187,1.421884,923.221577,-89.417903,833.803674,13.0281824063,-1.3971547344,14.4253371406,,,117.9111975757,,2.7343555292,,141.6804479141,,10.5897112673,
1.19,101.826853,1.417726,924.525979,-90.720013,833.805966,13.0282182188,-1.4175002031,14.4457184219,,,114.8117877311,,2.802055541,,141.6813004649,,10.5897431257,
1.2,101.952149,1.411201,925.663586,-91.866474,833.797112,13.028079875,-1.4354136563,14.4634935313,,,112.1423869584,,2.8623483147,,141.678007074,,10.5896200568,
1.21,102.055266,1.401906,926.599831,-92.800515,833.799316,13.0281143125,-1.4500080469,14.4781223594,,,109.9690576438,,2.9119442805,,141.6788268845,,10.589650692,
1.22,102.132857,1.389769,927.304307,-93.540678,833.763629,13.0275567031,-1.4615730938,14.4891297969,,,108.3477443884,,2.9515481941,,141.6655528676,,10.5891546495,
1.23,102.182546,1.374371,927.755453,-93.994074,833.761379,13.0275215469,-1.4686574063,14.4961789531,,,107.315785571,,2.9759401791,,141.6647159859,,10.5891233749,
1.24,102.203508,1.355865,927.945773,-94.190795,833.754978,13.0274215313,-1.4717311719,14.4991527031,,,106.8819202889,,2.9865546802,,141.6623351642,,10.5890344023,
1.25,102.197067,1.334479,927.887294,-94.142925,833.744369,13.0272557656,-1.4709832031,14.4982389688,,,107.015140674,,2.9839700126,,141.6583892409,,10.5888869392,
1.26,102.167083,1.310627,927.615055,-93.868772,833.746283,13.0272856719,-1.4666995625,14.4939852344,,,107.6363974158,,2.9691890936,,141.6591011321,,10.5889135434,
1.27,102.120153,1.285231,927.188964,-93.477402,833.711562,13.0267431563,-1.4605844063,14.4873275625,,,108.6123782175,,2.9481520275,,141.6461873163,,10.5884309282,
1.28,102.065477,1.259132,926.692536,-93.014584,833.677952,13.026218,-1.453352875,14.479570875,,,109.7550042924,,2.9233709787,,141.6336872764,,10.5879637556,
1.29,102.014225,1.233311,926.227203,-92.532843,833.69436,13.026474375,-1.4458256719,14.4723000469,,,110.831504197,,2.8976878121,,141.6397895775,,10.5881918237,
1.3,101.978536,1.20931,925.903163,-92.219749,833.683414,13.0263033438,-1.4409335781,14.4672369219,,,111.5842208075,,2.8810565174,,141.6357186349,,10.5880396764,
1.31,101.970154,1.188316,925.827064,-92.1773,833.649764,13.0257775625,-1.4402703125,14.466047875,,,111.7613749518,,2.8788053462,,141.6232041813,,10.5875719478,
1.32,101.998965,1.171189,926.088648,-92.452355,833.636293,13.0255670781,-1.4445680469,14.470135125,,,111.1530410726,,2.8934077852,,141.6181944639,,10.5873847035,
1.33,102.071827,1.158615,926.750192,-93.096422,833.65377,13.0258401563,-1.4546315938,14.48047175,,,109.6219943062,,2.9277452868,,141.6246939859,,10.5876276305,
1.34,102.191899,1.15129,927.840377,-94.225759,833.614618,13.0252284063,-1.4722774844,14.4975058906,,,107.1220913617,,2.988443215,,141.6101339548,,10.5870834252,
1.35,102.358661,1.148931,929.354467,-95.758562,833.595905,13.0249360156,-1.4962275313,14.5211635469,,,103.6979341104,,3.0718222594,,141.6031751401,,10.5868233181,
1.36,102.568744,1.151297,931.261892,-97.674483,833.587409,13.0248032656,-1.5261637969,14.5509670625,,,99.4634268943,,3.1776547186,,141.6000157838,,10.5867052253,
1.37,102.817083,1.158045,933.516666,-99.959844,833.556822,13.0243253438,-1.5618725625,14.5861979063,,,94.5716622791,,3.3062385647,,141.5886418726,,10.5862800719,
1.38,103.097903,1.168449,936.066335,-102.51792,833.548415,13.0241939844,-1.6018425,14.6260364844,,,89.1886875806,,3.4531913557,,141.5855157725,,10.5861632162,
1.39,103.405295,1.181874,938.857275,-105.284342,833.572933,13.0245770781,-1.6450678438,14.6696449219,,,83.4771719218,,3.6157090625,,141.5946327623,,10.5865040117,
1.4,103.733309,1.198006,941.835436,-108.28704,833.548396,13.0241936875,-1.691985,14.7161786875,,,77.5909100077,,3.7963363954,,141.5855087075,,10.5861629521,
1.41,104.075748,1.21586,944.944579,-111.38271,833.561869,13.0244042031,-1.7403548438,14.7647590469,,,71.6753784946,,3.9871654773,,141.5905185904,,10.5863502242,
1.42,104.426052,1.234901,948.125126,-114.555331,833.569795,13.0245280469,-1.7899270469,14.8144550938,,,65.8666520979,,4.1875933197,,141.5934658843,,10.5864603941,
1.43,104.777464,1.254453,951.315733,-117.754223,833.56151,13.0243985938,-1.8399097344,14.8643083281,,,60.2861443142,,4.394656833,,141.5903850965,,10.5863452342,
1.44,105.123696,1.273733,954.459312,-120.894514,833.564798,13.0244499688,-1.8889767813,14.91342675,,,55.0294428641,,4.6027871955,,141.5916077395,,10.5863909367,
1.45,105.45976,1.292243,957.510562,-123.946607,833.563955,13.0244367969,-1.9366657344,14.9611025313,,,50.1564131987,,4.8096862151,,141.5912942694,,10.5863792192,
1.46,105.782644,1.309673,960.442154,-126.899322,833.542832,13.02410675,-1.9828019063,15.0069086563,,,45.6872612865,,5.0141772092,,141.5834397815,,10.5860856135,
1.47,106.091689,1.325706,963.248095,-129.703439,833.544656,13.02413525,-2.0266162344,15.0507514844,,,41.6049543773,,5.2123181334,,141.5841180187,,10.5861109668,
1.48,106.388389,1.340596,965.941957,-132.427412,833.514545,13.0236647656,-2.0691783125,15.0928430781,,,37.8654423676,,5.4084723843,,141.5729217353,,10.5856924297,
1.49,106.67562,1.354297,968.549837,-135.038095,833.511742,13.0236209688,-2.1099702344,15.1335912031,,,34.4129976938,,5.5998687525,,141.571879508,,10.5856534685,
1.5,106.956577,1.366981,971.10076,-137.554044,833.546716,13.0241674375,-2.1492819375,15.173449375,,,31.1956013244,,5.7874689198,,141.5848840122,,10.5861396004,
1.51,107.233786,1.378911,973.617647,-140.026058,833.591589,13.0248685781,-2.1879071563,15.2127757344,,,28.1758540462,,5.974803432,,141.6015701708,,10.5867633265,
1.52,107.50834,1.390452,976.110428,-142.55158,833.558848,13.024357,-2.2273684375,15.2517254375,,,25.3365174719,,6.1692742882,,141.5893952356,,10.5863082329,
1.53,107.77957,1.401012,978.573029,-144.998972,833.574057,13.0245946406,-2.2656089375,15.2902035781,,,22.6795894784,,6.3607003143,,141.5950507274,,10.5865196351,
1.54,108.045105,1.410694,980.983926,-147.444905,833.539021,13.0240472031,-2.3038266406,15.3278738438,,,20.2209787364,,6.5549342796,,141.5820227023,,10.5860326414,
1.55,108.30117,1.418798,983.308845,-149.772758,833.536087,13.0240013594,-2.3401993438,15.3642007031,,,17.9836150194,,6.7425044497,,141.580931731,,10.5859918593,
1.56,108.542993,1.424978,985.504452,-151.971795,833.532657,13.0239477656,-2.3745592969,15.3985070625,,,15.9910913124,,6.9221254525,,141.5796563335,,10.585944183,
1.57,108.765425,1.428925,987.523994,-154.043971,833.480023,13.0231253594,-2.4069370469,15.4300624063,,,14.2616067703,,7.0935450542,,141.5600858383,,10.5852125805,
1.58,108.96355,1.429749,989.322855,-155.82956,833.493295,13.0233327344,-2.434836875,15.4581696094,,,12.8044402858,,7.2429386406,,141.5650205364,,10.5853970587,
1.59,109.133366,1.427423,990.864675,-157.379124,833.485551,13.0232117344,-2.4590488125,15.4822605469,,,11.6179626368,,7.3738466204,,141.5621412084,,10.5852894186,
1.6,109.27265,1.421646,992.129288,-158.639084,833.490204,13.0232844375,-2.4787356875,15.502020125,,,10.6878599479,,7.4811529328,,141.5638712556,,10.5853540944,
