Time,Temp,Pressure,KE,U,H(t),H(t)/N,U(t)/N,T(t)/N,time averaged values,,,Stdv T,,Stdv U/N,,STDV E/N,,Energy Drift
0,94.400213,1.173836,857.096592,-25.382694,831.713898,12.9955296563,-0.3966045938,13.39213425,<T>,116.090720208,329.1200546529,9.3082881386,0.4264593365,3.9218575817,140.9041853862,11.8770059657,10.5606637815,
0.01,94.40085,1.173865,857.102382,-25.388484,831.713898,12.9955296563,-0.3966950625,13.3922247188,<U/N>,-3.4670490901,329.0969425759,,0.4265775038,,140.9041853862,,10.5606637815,
0.02,94.401914,1.173913,857.112038,-25.398138,831.7139,12.9955296875,-0.3968459063,13.3923755938,<H/N>,13.0022200882,329.0583395977,,0.4267745674,,140.9041861281,,10.5606638093,
0.03,94.403404,1.17398,857.125565,-25.411665,831.7139,12.9955296875,-0.3970572656,13.3925869531,<P>,1.525974244,329.0042847214,,0.4270507658,,140.9041861281,,10.5606638093,
0.04,94.405321,1.174067,857.142973,-25.429072,831.713901,12.9955297031,-0.39732925,13.3928589531,,,328.9347454821,,0.4274063185,,140.904186499,,10.5606638232,
0.05,94.407667,1.174173,857.164272,-25.45037,831.713902,12.9955297188,-0.3976620313,13.39319175,,,328.8496542545,,0.4278415495,,140.90418687,,10.5606638371,
0.06,94.410443,1.174299,857.189475,-25.475572,831.713903,12.9955297344,-0.3980558125,13.3935855469,,,328.7489808142,,0.4283568461,,140.9041872409,,10.560663851,
0.07,94.41365,1.174443,857.218598,-25.504694,831.713904,12.99552975,-0.3985108438,13.3940405938,,,328.6326960669,,0.4289526797,,140.9041876119,,10.5606638649,
0.08,94.417291,1.174608,857.251658,-25.537752,831.713906,12.9955297813,-0.399027375,13.3945571563,,,328.5006995583,,0.4296295454,,140.9041883538,,10.5606638927,
0.09,94.421368,1.174792,857.288675,-25.574767,831.713908,12.9955298125,-0.3996057344,13.3951355469,,,328.3529282875,,0.4303880643,,140.9041890957,,10.5606639205,
0.1,94.425884,1.174996,857.329669,-25.615759,831.71391,12.9955298438,-0.4002462344,13.3957760781,,,328.1892842241,,0.4312288614,,140.9041898376,,10.5606639483,
0.11,94.430839,1.17522,857.374666,-25.660754,831.713912,12.995529875,-0.4009492813,13.3964791563,,,328.0097792631,,0.4321527096,,140.9041905795,,10.5606639761,
0.12,94.436239,1.175464,857.423692,-25.709777,831.713915,12.9955299219,-0.4017152656,13.3972451875,,,327.8142091883,,0.4331603869,,140.9041916923,,10.5606640178,
